LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
MADAWASKA BLVD btwn CONNIFER LANE & Continuation of MADAWASKA BLVD (__5SPK8W),2016,1,,,318517.614,5031843.404
COUNTY RD 29 @ MADAWASKA BLVD (0011704),2016,3,,,318895.5449,5031715.604
HIGHWAY 17 btwn OTTAWA ROAD 29 & Continuation of HIGHWAY 17 (__5SO0AA),2016,1,,,318990.5315,5031693.647
OTTAWA ROAD 29 btwn GALETTA SIDE RD & WALTER BRADLEY RD (__3ZAZ58),2016,2,,,319745.687,5026002.008
GALETTA SIDE RD btwn IVY ACRES RD & UPPER DWYER HILL RD (__3ZA4SO),2016,1,,,320335.8096,5028404.3
HIGHWAY 17 btwn THOMAS ELLIOT RD & GALETTA SIDE RD (__3ZA2RQ),2016,1,,,321089.371,5030556.27
HIGHWAY 417 btwn HWY417 IC180 RAMP35 & HWY417 IC169 RAMP51 (__5SO6CL),2016,1,,,321877.8886,5028690.933
UPPER DWYER HILL RD btwn GALETTA SIDE RD & RITCHIE SIDE RD (__3ZAC10),2016,1,,,321896.3753,5027733.58
HIGHWAY 417 btwn HWY417 IC180 RAMP61 & HWY417 IC169 RAMP36 (__5DVYB1),2016,1,,,322135.3581,5028489.166
RITCHIE SIDE RD btwn IVY ACRES RD & UPPER DWYER HILL RD (__3ZA6MM),2016,1,,,322422.6785,5026156.014
GALETTA SIDE RD btwn MACHARDY RD & DARWIN ST (__3ZA4R0),2016,1,,,323358.8012,5031134.304
KINBURN SIDE RD btwn TIMMINS RD & DOMINION SPRINGS RD (__3ZA4SJ),2016,2,,,323486.0337,5022974.673
TIMMINS RD btwn KINBURN SIDE RD & END (__3ZA1ZB),2016,1,,,323690.4756,5021739.771
DOMINION SPRINGS RD btwn HANSON SIDE RD & KINBURN SIDE RD (__3ZAC2M),2016,1,,,323787.5301,5023679.061
GALETTA SIDE RD btwn MOHRS RD & MORNING DEW DR (__4B1MVN),2016,2,,,324057.3614,5031871.352
MOHRS RD btwn GALETTA SIDE RD & RIDDLEDALE RD (__3ZAC1T),2016,1,,,324362.8026,5031278.659
KINBURN SIDE RD btwn DOMINION SPRINGS RD & UPPER DWYER HILL RD (__3ZA4SK),2016,1,,,324522.1894,5023894.589
GALETTA SIDE RD @ LOGGERS WAY (0001765),2016,1,,,325001.537,5032562.656
KINBURN SIDE RD @ UPPER DWYER HILL RD (0011481),2016,1,,,325039.7351,5024357.07
LOGGERS WAY btwn GALETTA SIDE RD & RIDDLEDALE RD (__3ZAC1U),2016,1,,,325216.05,5032328.088
HIGHWAY 417 btwn HWY417 IC169 RAMP51 & HWY417 IC169 RAMP35 (__6KCNER),2016,1,,,325296.413,5025060.444
HWY417 IC169 RAMP25 btwn KINBURN SIDE RD & HIGHWAY 417 (__5SPORO),2016,1,,,325670.1252,5024632.779
HIGHWAY 417 btwn HWY417 IC169 RAMP35 & HWY417 IC169 RAMP25 (__5SO7MP),2016,2,,,325782.9305,5024573.998
KINBURN SIDE RD btwn FARMVIEW RD & MOHRS RD (__3ZA4RZ),2016,1,,,327620.9428,5026654.037
LOGGERS WAY @ THYMES DR (0011613),2016,1,,,327688.66,5029599.708
HARBOUR ST btwn LEARMONTH AVE & TO BE DETERMINED (__3ZA3HA),2016,1,,,327917.3513,5035613.563
GALETTA SIDE RD btwn CARP RD & HARBOUR ST (__3ZA4RV),2016,1,,,328218.5653,5035403.17
UPPER DWYER HILL RD btwn GRAINGER PARK RD & PANMURE RD (__3ZBOBX),2016,1,,,328243.0998,5020960.101
HIGHWAY 417 btwn HWY417 IC169 RAMP25 & HWY417 IC163 RAMP51 (__5SPOUW),2016,1,,,328272.2724,5022931.887
HIGHWAY 417 btwn HWY417 IC163 RAMP16 & HWY417 IC169 RAMP61 (__5SPO79),2016,7,,,328611.3661,5022724.066
GALETTA SIDE RD btwn HARBOUR ST & CANON SMITH DR (__3ZA4QE),2016,2,,,328762.4463,5035891.208
KINBURN SIDE RD btwn DONALD B. MUNRO DR & MARY ST (__3ZA4R2),2016,1,,,328891.3031,5027769.686
CARP RD btwn GALETTA SIDE RD & STYLES SIDE RD (__3ZA4RT),2016,1,,,329158.9996,5034181.025
CANON SMITH DR @ GALETTA SIDE RD (0002371),2016,2,,,329168.2121,5036254.512
LOGGERS WAY btwn LELAND ST & KILGORE ST (__3ZA5Z3),2016,1,,,329262.1759,5027940.045
PANMURE RD @ UPPER DWYER HILL RD (0011474),2016,1,,,329349.6849,5019816.767
PANMURE RD btwn BREEZY HEIGHTS RD & MARSHWOOD RD (__3ZAZNN),2016,1,,,330614.495,5020892.191
UPPER DWYER HILL RD btwn MANTIL SIDE RD & VAUGHAN SIDE RD (__3ZAZA4),2016,2,,,331030.2274,5017699.886
HWY417 IC163 RAMP15 btwn PANMURE RD & HIGHWAY 417 (__34IVG0),2016,2,,,331059.9479,5021478.34
CARP RD btwn STYLES SIDE RD & KINBURN SIDE RD (__3ZA4QA),2016,1,,,331213.5599,5031889.364
PANMURE RD btwn HWY417 IC163 RAMP15 & HWY417 IC163 RAMP16 (__34IWIY),2016,1,,,331309.88,5021474.689
PANMURE RD @ HWY 417 PANMURE IC163R16 (0010696),2016,1,,,331524.7981,5021655.361
HIGHWAY 417 btwn HWY417 IC163 RAMP16 & HWY417 IC163 RAMP61 (__3ZAZNM),2016,1,,,331706.4844,5021395.791
WOODKILTON RD btwn RIVERWOOD DR & GALETTA SIDE RD (__3ZACDR),2016,1,,,331810.374,5040377.834
UPPER DWYER HILL RD @ VAUGHAN SIDE RD (0002370),2016,1,1,,331998.9101,5016528.957
GALETTA SIDE RD btwn TORBOLTON RIDGE RD & WOODKILTON RD (__3ZA4QZ),2016,1,,,332292.6739,5039060.431
VAUGHAN SIDE RD btwn UPPER DWYER HILL RD & PETER ROBINSON RD (__3ZAC0W),2016,1,,,332507.4355,5017063.807
MARCH RD btwn GOLDEN LINE RD & BURNT LANDS RD (__3ZA2QG),2016,1,,,332526.2415,5013149.46
UPPER DWYER HILL RD btwn VAUGHAN SIDE RD & CARROLL SIDE RD (__3ZA4QD),2016,1,,,332617.2299,5015856.886
PANMURE RD btwn MORNINGDOVE DR & DEERWOOD DR (__3ZACDB),2016,1,,,332726.8586,5022697.864
KINBURN SIDE RD btwn CARP RD & LIMESTONE RD (__3ZA4Q4),2016,1,,,332761.7248,5031196.618
GOLDEN LINE RD btwn MARCH RD & Continuation of GOLDEN LINE RD (__3ZA481),2016,1,,,333049.4329,5011631.068
CARP RD btwn KINBURN SIDE RD & BAIRD SIDE RD (__3ZA4Q9),2016,1,,,333265.4828,5029593.652
UPPER DWYER HILL RD btwn CARROLL SIDE RD & MARCH RD (__3ZA4QC),2016,3,,,333663.3156,5014740.843
DUNROBIN RD btwn GALETTA SIDE RD & BAIRD'S GRANT LANE (__3ZAZ5E),2016,2,,,333947.1594,5040075.134
MARSHWOOD RD @ VAUGHAN SIDE RD (0011581),2016,1,,,334018.4589,5018537.521
MARCH RD @ UPPER DWYER HILL RD (0010832),2016,4,,,334081.9679,5014288.37
DONALD B. MUNRO DR btwn THOMAS A. DOLAN PKWY & JOHN SHAW RD (__3ZBNAJ),2016,1,,,334449.0697,5024066.93
MARCH RD btwn UPPER DWYER HILL RD & PETER ROBINSON RD (__3ZA2RI),2016,1,,,334540.8523,5014775.258
KINBURN SIDE RD btwn BECKS RD & STONECREST RD (__3ZA4Q6),2016,1,,,334588.9339,5032803.992
DUNROBIN RD btwn BAIRD'S GRANT LANE & BUCKHAMS BAY RD (__3ZA4Q1),2016,1,,,334608.3746,5039431.216
KINBURN SIDE RD @ STONECREST RD (0002367),2016,1,,,334899.574,5033077.611
HIGHWAY 417 btwn HWY417 IC163 RAMP15 & HWY417 IC155 RAMP51 (__3ZAZNS),2016,10,,,335079.1501,5020464.762
CARP RD btwn BAIRD SIDE RD & THOMAS A. DOLAN PKWY (__3ZBOB2),2016,3,,,335307.5376,5027134.471
MARCH RD btwn PETER ROBINSON RD & CORKERY RD (__3ZA2RJ),2016,4,,,335478.5879,5015710.923
UPPER DWYER HILL RD btwn MARCH RD & OLD ALMONTE RD (__3ZA4QB),2016,10,,,335519.6976,5012705.42
HIGHWAY 417 btwn HWY417 IC163 RAMP61 & HWY417 IC155 RAMP36 (__3ZA2QB),2016,7,,,335547.9237,5020389.042
DONALD B. MUNRO DR btwn JOHN SHAW RD & WILLIAM HODGINS LANE (__3ZACD8),2016,1,,,335801.3469,5022703.707
WOODKILTON RD btwn KILMAURS SIDE RD & KINBURN SIDE RD (__3ZACCE),2016,1,,,335907.1589,5036137.951
CORKERY RD btwn CORKERY WOODS DR & MARCH RD (__3ZAC02),2016,1,,,335913.3209,5016211.68
THOMAS A. DOLAN PKWY btwn DIAMONDVIEW RD & CARP RD (__3ZAC0F),2016,1,,,336010.4321,5025590.784
DIAMONDVIEW RD btwn THOMAS A. DOLAN PKWY & OLD COACH RD (__3ZACEL),2016,2,,,336104.3034,5024613.722
DUNROBIN RD btwn KILMAURS SIDE RD & CONSTANCE BAY RD (__3ZA4EA),2016,1,,,336297.9746,5037699.577
CARP RD @ THOMAS A. DOLAN PKWY (0002118),2016,3,,,336459.5381,5025992.327
BAYVIEW DR btwn LEN PURCELL DR & BISHOP DAVIS DR (__3ZBPL6),2016,1,,,336489.5542,5039353.568
